Date,TOSI,,
Jan-82,0.665709441,,
Feb-82,-0.353686799,,
Mar-82,-0.405979511,,
Apr-82,0.529878051,,
May-82,0.420249846,,
Jun-82,0.099653606,,
Jul-82,-0.589738752,,
Aug-82,-0.047686906,,
Sep-82,0.398080631,,
Oct-82,0.456461112,,
Nov-82,0.157299582,,
Dec-82,0.234903685,,
Jan-83,-0.260110401,,
Feb-83,-0.759932764,,
Mar-83,0.122475219,,
Apr-83,1.352898929,,
May-83,1.023188557,,
Jun-83,1.265808119,,
Jul-83,1.156579599,,
Aug-83,1.124885438,,
Sep-83,0.637526757,,
Oct-83,0.485751044,,
Nov-83,1.290539118,,
Dec-83,0.556840939,,
Jan-84,1.084359376,,
Feb-84,1.068657947,,
Mar-84,1.509233498,,
Apr-84,1.523532136,,
May-84,0.699595175,,
Jun-84,1.116850477,,
Jul-84,0.577281813,,
Aug-84,0.77846094,,
Sep-84,0.876689429,,
Oct-84,0.038957094,,
Nov-84,0.291798906,,
Dec-84,0.177449491,,
Jan-85,0.534188184,,
Feb-85,1.005675892,,
Mar-85,1.223053949,,
Apr-85,0.780070227,,
May-85,0.893487083,,
Jun-85,0.362440317,,
Jul-85,0.266519274,,
Aug-85,0.849012475,,
Sep-85,0.29203882,,
Oct-85,1.18193343,,
Nov-85,1.05358002,,
Dec-85,0.20448294,,
Jan-86,-0.400207517,,
Feb-86,-0.019749763,,
Mar-86,0.318623665,,
Apr-86,0.023578109,,
May-86,0.144414996,,
Jun-86,0.706807131,,
Jul-86,-0.239927622,,
Aug-86,-0.295433681,,
Sep-86,-0.293901996,,
Oct-86,0.407502853,,
Nov-86,0.625996405,,
Dec-86,0.76825199,,
Jan-87,0.251894455,,
Feb-87,0.288096612,,
Mar-87,0.702209611,,
Apr-87,0.77710855,,
May-87,1.171574734,,
Jun-87,0.880219262,,
Jul-87,0.926646549,,
Aug-87,0.145943247,,
Sep-87,0.946236877,,
Oct-87,1.441686523,,
Nov-87,1.037141435,,
Dec-87,1.063835612,,
Jan-88,1.206694741,,
Feb-88,1.029722834,,
Mar-88,0.523505055,,
Apr-88,0.442141967,,
May-88,0.876102589,,
Jun-88,0.907531962,,
Jul-88,0.929522053,,
Aug-88,0.802751475,,
Sep-88,0.410656416,,
Oct-88,0.355956728,,
Nov-88,1.26620378,,
Dec-88,1.305705582,,
Jan-89,1.124900863,,
Feb-89,1.026172388,,
Mar-89,0.844335323,,
Apr-89,0.374945498,,
May-89,1.451193227,,
Jun-89,1.004067712,,
Jul-89,0.866850235,,
Aug-89,1.753673498,,
Sep-89,1.089594669,,
Oct-89,0.981206169,,
Nov-89,0.957941623,,
Dec-89,1.15664532,,
Jan-90,0.355373955,,
Feb-90,1.115844806,,
Mar-90,0.196742654,,
Apr-90,-0.316526563,,
May-90,0.512902414,,
Jun-90,-0.007394014,,
Jul-90,0.212630747,,
Aug-90,-1.639624274,,
Sep-90,-1.439008571,,
Oct-90,-0.853419342,,
Nov-90,-0.025259852,,
Dec-90,0.013833477,,
Jan-91,-1.603795597,,
Feb-91,-1.225140957,,
Mar-91,0.275092739,,
Apr-91,0.499820686,,
May-91,0.711273739,,
Jun-91,0.874506361,,
Jul-91,0.210462075,,
Aug-91,-0.515950452,,
Sep-91,0.571086315,,
Oct-91,0.196732298,,
Nov-91,-0.042164963,,
Dec-91,-0.298762629,,
Jan-92,-0.043940507,,
Feb-92,-1.27606278,,
Mar-92,0.121480435,,
Apr-92,0.526904898,,
May-92,0.937801839,,
Jun-92,-0.240807793,,
Jul-92,0.179481119,,
Aug-92,-1.006952951,,
Sep-92,0.475404014,,
Oct-92,0.122607776,,
Nov-92,0.411100515,,
Dec-92,-0.610318684,,
Jan-93,-0.306663861,,
Feb-93,-0.109362298,,
Mar-93,0.453770045,,
Apr-93,0.788965555,,
May-93,1.0681964,,
Jun-93,0.822844622,,
Jul-93,0.104775464,,
Aug-93,0.942990729,,
Sep-93,0.062217467,,
Oct-93,1.174928505,,
Nov-93,-0.189085111,,
Dec-93,0.644475854,,
Jan-94,0.616424758,,
Feb-94,0.204627489,,
Mar-94,0.08536854,,
Apr-94,0.886943963,,
May-94,1.064341496,,
Jun-94,0.315299949,,
Jul-94,0.582763795,,
Aug-94,0.64409588,,
Sep-94,0.833776084,,
Oct-94,0.676353808,,
Nov-94,1.037224847,,
Dec-94,0.788884937,,
Jan-95,0.773937256,,
Feb-95,1.000221042,,
Mar-95,1.552897741,,
Apr-95,1.346738599,,
May-95,0.658149138,,
Jun-95,1.193332683,,
Jul-95,0.882964764,,
Aug-95,1.645329709,,
Sep-95,1.529931474,,
Oct-95,1.054433303,,
Nov-95,0.769557632,,
Dec-95,0.645253716,,
Jan-96,1.23563824,,
Feb-96,0.835538439,,
Mar-96,2.086655182,,
Apr-96,1.077851532,,
May-96,0.980361872,,
Jun-96,1.357254983,,
Jul-96,0.986464033,,
Aug-96,0.911303371,,
Sep-96,1.59213837,,
Oct-96,1.19649234,,
Nov-96,0.626568065,,
Dec-96,0.850076112,,
Jan-97,1.602389042,,
Feb-97,0.878707007,,
Mar-97,0.865771502,,
Apr-97,1.007402816,,
May-97,1.333322188,,
Jun-97,1.505283917,,
Jul-97,0.546109762,,
Aug-97,0.975211353,,
Sep-97,1.498469367,,
Oct-97,-0.29934845,,
Nov-97,-0.306510341,,
Dec-97,-0.550049106,,
Jan-98,-1.422642565,,
Feb-98,-0.838237223,,
Mar-98,-0.114982012,,
Apr-98,-0.837045522,,
May-98,-0.743096039,,
Jun-98,-0.733879891,,
Jul-98,-0.965448985,,
Aug-98,-2.134409368,,
Sep-98,-0.798763126,,
Oct-98,-0.812587126,,
Nov-98,-0.843725708,,
Dec-98,-1.505967205,,
Jan-99,-1.305462723,,
Feb-99,-1.213873981,,
Mar-99,0.305749743,,
Apr-99,0.452290565,,
May-99,0.403470751,,
Jun-99,0.849124685,,
Jul-99,0.622183899,,
Aug-99,0.788205889,,
Sep-99,0.286101591,,
Oct-99,0.44232361,,
Nov-99,0.669744897,,
Dec-99,0.823410931,,
Jan-00,0.512132784,,
Feb-00,0.63285857,,
Mar-00,0.35564826,,
Apr-00,1.142899247,,
May-00,1.300036446,,
Jun-00,0.393055287,,
Jul-00,0.26768758,,
Aug-00,0.489112894,,
Sep-00,-1.234152651,,
Oct-00,-0.837575299,,
Nov-00,-0.130835644,,
Dec-00,-0.125461359,,
Jan-01,-0.60527453,,
Feb-01,-0.106710512,,
Mar-01,0.275387363,,
Apr-01,0.400925537,,
May-01,0.833762365,,
Jun-01,-0.536797807,,
Jul-01,-0.605700481,,
Aug-01,-0.570948155,,
Sep-01,-2.273520723,,
Oct-01,-1.896909351,,
Nov-01,-0.850738181,,
Dec-01,-0.07531633,,
Jan-02,-0.218809048,,
Feb-02,-0.074308777,,
Mar-02,0.79511639,,
Apr-02,-0.536826643,,
May-02,0.092587211,,
Jun-02,0.007181055,,
Jul-02,-0.887410164,,
Aug-02,-0.560647381,,
Sep-02,-2.176269627,,
Oct-02,-1.347033523,,
Nov-02,-0.534764769,,
Dec-02,-1.495890045,,
Jan-03,-1.960209074,,
Feb-03,-1.673205329,,
Mar-03,-2.508247211,,
Apr-03,-1.002563572,,
May-03,-0.322742658,,
Jun-03,-0.080401939,,
Jul-03,0.927575889,,
Aug-03,0.363946138,,
Sep-03,0.180858646,,
Oct-03,0.821964575,,
Nov-03,0.077792366,,
Dec-03,0.686738794,,
Jan-04,0.519765858,,
Feb-04,0.235278956,,
Mar-04,-0.135035776,,
Apr-04,0.167901647,,
May-04,-0.278223315,,
Jun-04,-0.000175657,,
Jul-04,-0.281841572,,
Aug-04,-0.385045943,,
Sep-04,-0.200810824,,
Oct-04,-0.357545108,,
Nov-04,0.338300882,,
Dec-04,-0.380697511,,
Jan-05,0.058197946,,
Feb-05,0.957079272,,
Mar-05,0.540632501,,
Apr-05,-0.033401744,,
May-05,-0.025124924,,
Jun-05,0.417237862,,
Jul-05,1.153574887,,
Aug-05,0.100755963,,
Sep-05,-0.21726341,,
Oct-05,0.487421168,,
Nov-05,1.197001105,,
Dec-05,1.392947034,,
Jan-06,0.602309728,,
Feb-06,1.091833054,,
Mar-06,1.313341374,,
Apr-06,1.216198249,,
May-06,0.736626685,,
Jun-06,0.02204671,,
Jul-06,0.680991235,,
Aug-06,-0.077478733,,
Sep-06,0.696993652,,
Oct-06,0.978748732,,
Nov-06,1.303403504,,
Dec-06,1.051201441,,
Jan-07,0.250911113,,
Feb-07,0.918576208,,
Mar-07,1.015920815,,
Apr-07,1.183197948,,
May-07,1.239604208,,
Jun-07,1.341609504,,
Jul-07,0.738455873,,
Aug-07,-0.029317984,,
Sep-07,0.640944165,,
Oct-07,0.383941027,,
Nov-07,-0.379429593,,
Dec-07,-0.075170753,,
Jan-08,-0.606237426,,
Feb-08,0.156704251,,
Mar-08,-0.024803463,,
Apr-08,-0.120455239,,
May-08,-0.030004514,,
Jun-08,-0.678085892,,
Jul-08,-0.590886118,,
Aug-08,-0.780154681,,
Sep-08,-2.112107003,,
Oct-08,-2.718172359,,
Nov-08,-1.837422254,,
Dec-08,-2.290941022,,
Jan-09,-2.250500944,,
Feb-09,-1.515563278,,
Mar-09,-0.390879103,,
Apr-09,-0.859913192,,
May-09,-0.034025435,,
Jun-09,-0.247628386,,
Jul-09,-0.498261864,,
Aug-09,0.159426923,,
Sep-09,0.294579176,,
Oct-09,0.24194044,,
Nov-09,0.653320357,,
Dec-09,0.54617452,,
Jan-10,0.101624882,,
Feb-10,0.243702865,,
Mar-10,1.058092264,,
Apr-10,0.657929417,,
May-10,-0.984091739,,
Jun-10,-0.410194794,,
Jul-10,0.422057257,,
Aug-10,-0.054183961,,
Sep-10,0.978071541,,
Oct-10,0.635383302,,
Nov-10,1.539899264,,
Dec-10,0.870578062,,
Jan-11,0.40980448,,
Feb-11,-0.016646381,,
Mar-11,-0.414165081,,
Apr-11,-0.15164925,,
May-11,-0.636528188,,
Jun-11,-0.398735231,,
Jul-11,-0.148039311,,
Aug-11,-1.075109097,,
Sep-11,0.018403108,,
Oct-11,0.295851578,,
Nov-11,-1.131029063,,
Dec-11,-0.751820224,,
Jan-12,-1.000738793,,
Feb-12,0.227267474,,
Mar-12,-0.334774716,,
Apr-12,-0.265907313,,
May-12,-0.107898007,,
Jun-12,-0.576113888,,
Jul-12,-0.651885841,,
Aug-12,-0.363749434,,
Sep-12,-0.089405551,,
Oct-12,-0.025772474,,
Nov-12,0.022091053,,
Dec-12,0.964463118,,
Jan-13,0.597275984,,
Feb-13,-0.084117161,,
Mar-13,0.490894856,,
Apr-13,-0.14493445,,
May-13,0.587006943,,
Jun-13,0.468665966,,
Jul-13,-0.312581151,,
Aug-13,-1.038948787,,
Sep-13,0.445476571,,
Oct-13,0.171676946,,
Nov-13,0.559205679,,
Dec-13,0.174013173,,
Jan-14,0.495229488,,
Feb-14,-0.104542525,,
Mar-14,0.01406777,,
Apr-14,0.384558128,,
May-14,0.325070953,,
Jun-14,-0.16345677,,
Jul-14,-0.648059972,,
Aug-14,-0.602779427,,
Sep-14,-0.927750925,,
Oct-14,-1.269266774,,
Nov-14,-0.477630447,,
Dec-14,-1.513461035,,
Jan-15,-1.607387927,,
Feb-15,-0.89976488,,
Mar-15,0.073264623,,
Apr-15,-0.014623626,,
May-15,-0.368795106,,
Jun-15,0.487199728,,
Jul-15,-1.525364244,,
Aug-15,-1.880424735,,
Sep-15,-1.538976634,,
Oct-15,-1.055179665,,
Nov-15,-0.585370445,,
Dec-15,-1.377555858,,
Jan-16,-2.153715866,,
Feb-16,-2.118340952,,
Mar-16,-1.032944383,,
Apr-16,-1.095818573,,
May-16,-0.876548872,,
Jun-16,-0.934102759,,
Jul-16,-0.867302261,,
Aug-16,-0.79036269,,
Sep-16,-0.540171659,,
Oct-16,-0.0744894,,
Nov-16,0.006156189,,
Dec-16,1.025116294,,
Jan-17,0.374360539,,
Feb-17,0.808335573,,
Mar-17,0.145990845,,
Apr-17,0.140028859,,
May-17,-0.571736743,,
Jun-17,-0.844591579,,
Jul-17,0.427797135,,
Aug-17,-0.437357381,,
Sep-17,-0.181313796,,
Oct-17,0.495066463,,
Nov-17,-0.156991442,,
Dec-17,0.8760109,,
Jan-18,0.811041788,,
Feb-18,1.280411252,,
Mar-18,-0.499238768,,
Apr-18,-0.32367763,,
May-18,-0.52737389,,
Jun-18,-0.542115713,,
Jul-18,-0.73413721,,
Aug-18,-1.00686053,,
Sep-18,-1.257314932,,
Oct-18,-1.007691677,,
Nov-18,-1.084590928,,
Dec-18,-2.099394007,,
Jan-19,-1.133868523,,
Feb-19,0.189984627,,
Mar-19,-0.160770523,,
Apr-19,-0.594280621,,
May-19,-0.317223615,,
Jun-19,-0.785622374,,
Jul-19,-0.791168022,,
Aug-19,-1.580111375,,
Sep-19,-2.195078842,,
Oct-19,-1.285991785,,
Nov-19,-0.126144709,,
Dec-19,-0.855250857,,
Jan-20,-1.140542614,,
Feb-20,-1.986735669,,
Mar-20,-4.075138598,,
Apr-20,-3.44471191,,
May-20,-2.929252397,,
Jun-20,-1.769010652,,
Jul-20,-0.650920524,,
Aug-20,-0.935540839,,
Sep-20,-1.777641498,,
Oct-20,-0.081305472,,
Nov-20,0.834370428,,
Dec-20,-0.034118478,,
Jan-21,0.05337248,,
Feb-21,0.667391898,,
Mar-21,-0.378682741,,
Apr-21,1.333752956,,
May-21,0.814483767,,
Jun-21,0.710381279,,
Jul-21,0.29785036,,
Aug-21,-0.359447447,,
Sep-21,0.362537985,,
Oct-21,0.37627045,,
Nov-21,-0.627259006,,
Dec-21,0.282513829,,
Jan-22,-0.611508677,,
Feb-22,0.518192741,,
Mar-22,-1.436493801,,
Apr-22,-0.982151753,,
May-22,-0.400685441,,
Jun-22,-1.579228335,,
Jul-22,-1.530325834,,
Aug-22,-0.902527587,,
Sep-22,-1.670059334,,
Oct-22,-2.603945579,,
Nov-22,-0.908954636,,
Dec-22,-1.849449901,,
Jan-23,-0.042316294,,
Feb-23,-0.0625033,,
Mar-23,-0.247774268,,
Apr-23,-0.313758798,,
May-23,0.036779299,,
Jun-23,-0.554930972,,
Jul-23,0.980460017,,
Aug-23,0.422427214,,
Sep-23,-1.376110389,,
Oct-23,-1.934972308,,
Nov-23,-0.808377346,,
Dec-23,-2.312513956,,
Jan-24,-0.500665688,,
Feb-24,0.73860828,,
Mar-24,-0.365665464,,
Apr-24,-0.474437207,,
May-24,0.0698294,,
Jun-24,-0.13359388,,
Jul-24,1.015181784,,
Aug-24,-1.021839165,,
Sep-24,-0.915581844,,
Oct-24,-1.639458162,,
Nov-24,-0.667277327,,
Dec-24,-0.769513251,,
Jan-25,-0.655538751,,
Feb-25,-1.465637219,,
Mar-25,-1.405292337,,
Apr-25,-1.716058915,,
May-25,-1.57999711,,
Jun-25,-2.088743647,,
Jul-25,-0.738641656,,
Aug-25,-1.434664282,,
Sep-25,-1.137544537,,
Oct-25,-1.187824875,,
